Delivery_person_Age,Delivery_person_Ratings,Vehicle_condition,multiple_deliveries,Time_taken(min),DeliveryDistance,OrderTime,Weatherconditions_Fog,Weatherconditions_Sandstorms,Weatherconditions_Stormy,Weatherconditions_Sunny,Weatherconditions_Windy,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_scooter,City_Urban,Order_Day_Monday,Order_Day_Saturday,Order_Day_Sunday,Order_Day_Thursday,Order_Day_Tuesday,Order_Day_Wednesday,TypeOfMeal_Dinner,TypeOfMeal_Launch
33.0,4.2,2.0,1.0,40.0,16.849939918016943,20,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
34.0,4.9,0.0,1.0,41.0,10.757108800258177,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
21.0,4.7,0.0,1.0,15.0,4.540574388730574,21,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
25.0,4.1,0.0,2.0,36.0,12.25607644546856,20,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
31.0,4.7,2.0,0.0,26.0,19.61873934880106,22,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0
37.0,5.0,1.0,1.0,20.0,1.5581322655562495,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
33.0,4.3,2.0,1.0,39.0,20.18063511411397,19,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
25.0,4.0,1.0,1.0,34.0,6.116971669681921,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
29.0,4.5,2.0,1.0,15.0,17.075594401072465,18,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
27.0,5.0,0.0,0.0,18.0,4.47028648943395,20,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
35.0,4.3,1.0,0.0,38.0,13.682044526080338,23,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
32.0,4.0,0.0,1.0,47.0,13.97318265391717,21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
23.0,4.8,2.0,0.0,12.0,16.85361872985407,23,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0
31.0,4.8,2.0,1.0,26.0,4.674172124263596,22,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36.0,4.1,0.0,1.0,22.0,7.601616771071131,22,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
26.0,4.3,0.0,0.0,21.0,7.720324413180035,23,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
38.0,4.9,1.0,1.0,25.0,6.1756362610176,13,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
32.0,3.5,1.0,0.0,35.0,17.29786575291325,21,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0
32.0,4.6,2.0,1.0,30.0,19.91468696554527,22,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
33.0,4.9,1.0,1.0,22.0,10.724517748045963,19,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
20.0,4.7,1.0,0.0,10.0,6.127835452843913,14,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
20.0,4.8,2.0,1.0,19.0,1.5203573134015247,11,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
35.0,5.0,2.0,1.0,11.0,3.0734537599374083,9,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
26.0,4.9,2.0,0.0,11.0,3.10513147754577,8,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
22.0,4.8,1.0,1.0,28.0,10.86742683448041,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
35.0,4.3,1.0,1.0,33.0,10.865464603780303,17,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
37.0,4.7,0.0,3.0,52.0,13.682516298591963,19,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
28.0,4.6,1.0,1.0,22.0,16.826241648658563,19,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
37.0,4.9,1.0,1.0,16.0,3.0272369309751475,11,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0
23.0,4.9,2.0,0.0,11.0,9.175193844437285,21,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
27.0,4.9,1.0,1.0,25.0,9.315069177421467,19,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
37.0,4.8,0.0,1.0,26.0,6.209021101535329,16,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
33.0,5.0,2.0,1.0,18.0,1.5203447277394997,11,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
31.0,4.9,1.0,1.0,16.0,6.037225392444489,15,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
31.0,4.8,2.0,1.0,23.0,17.078665498349924,22,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
25.0,5.0,0.0,0.0,15.0,4.717601092054723,22,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
28.0,4.8,0.0,1.0,36.0,12.464329297636857,20,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
31.0,4.7,2.0,0.0,16.0,9.12142598198074,23,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
24.0,4.7,0.0,0.0,19.0,14.02323208308413,18,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
39.0,4.6,1.0,1.0,27.0,13.392612276663751,23,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
39.0,4.2,2.0,1.0,49.0,12.58026782240096,20,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0
32.0,4.5,2.0,0.0,20.0,1.4899271643867569,9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
36.0,4.7,1.0,1.0,30.0,9.435201537430713,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
25.0,4.8,1.0,0.0,18.0,11.916582838287257,22,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
33.0,4.9,2.0,0.0,22.0,4.663566689152346,22,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
30.0,4.4,2.0,1.0,34.0,10.641157729337486,22,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0
33.0,5.0,0.0,0.0,24.0,16.818368923733058,23,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
36.0,4.9,2.0,1.0,17.0,6.128551257918874,15,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
21.0,4.8,2.0,0.0,14.0,2.996250036666747,10,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
39.0,4.9,2.0,1.0,30.0,7.342175722857832,21,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
23.0,4.8,1.0,1.0,15.0,3.145067434621583,10,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
35.0,4.8,2.0,1.0,16.0,6.290134677634678,16,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
39.0,4.6,1.0,1.0,36.0,13.972123977178397,20,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
22.0,4.7,1.0,1.0,18.0,6.0814407970077005,12,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
32.0,4.6,1.0,0.0,17.0,6.080891507841841,15,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
24.0,4.8,1.0,1.0,15.0,12.58026782240096,22,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29.0,4.7,0.0,1.0,17.0,3.145067434621583,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26.0,4.7,1.0,0.0,10.0,9.220373067021596,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20.0,4.5,1.0,1.0,27.0,7.862668167410368,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35.0,4.1,1.0,2.0,37.0,13.969606427684226,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
39.0,4.6,1.0,2.0,44.0,13.97320677313832,21,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
34.0,4.7,2.0,1.0,28.0,6.058853851668898,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
27.0,4.7,2.0,1.0,42.0,17.07799287216156,21,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
30.0,4.8,1.0,1.0,25.0,17.29786575291325,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
25.0,4.4,2.0,1.0,39.0,17.07287190639919,18,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
25.0,4.7,0.0,0.0,20.0,16.818368923733058,18,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
30.0,5.0,1.0,1.0,31.0,2.9795028505763823,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24.0,4.6,1.0,0.0,13.0,9.22086597503729,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
39.0,4.8,1.0,1.0,28.0,7.66133113422064,22,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
25.0,4.8,1.0,1.0,19.0,6.175516093406556,12,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1
37.0,4.6,0.0,2.0,42.0,12.209856560906877,23,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24.0,5.0,0.0,1.0,23.0,1.5526813140975844,10,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25.0,4.2,0.0,1.0,39.0,16.902806732498597,21,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
32.0,4.6,2.0,1.0,25.0,1.5093577696342253,10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34.0,4.7,1.0,0.0,15.0,24.444890166795183,23,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
38.0,4.9,2.0,1.0,15.0,3.0251186390180176,8,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
36.0,4.8,2.0,0.0,15.0,13.407092693002165,17,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
25.0,5.0,1.0,1.0,15.0,16.721976048741656,20,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
29.0,5.0,0.0,0.0,18.0,7.772343594464188,22,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
36.0,4.7,2.0,0.0,29.0,13.773737657079211,23,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
33.0,4.7,0.0,0.0,20.0,7.790158927085036,23,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
36.0,4.4,2.0,1.0,39.0,6.217834398579603,12,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
21.0,4.8,0.0,0.0,19.0,16.852834881459735,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25.0,4.8,1.0,1.0,19.0,4.610035602261126,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
23.0,4.8,0.0,0.0,17.0,19.87987067737402,23,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
25.0,4.6,2.0,1.0,15.0,1.5580833985943423,10,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
24.0,4.3,0.0,0.0,19.0,3.0253327061731827,9,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
27.0,4.6,0.0,1.0,29.0,13.971948960174704,21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23.0,4.8,2.0,1.0,22.0,16.830905551931515,22,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0
21.0,4.3,1.0,0.0,42.0,20.20779793335838,20,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
27.0,4.7,2.0,0.0,12.0,3.040641621538215,11,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0
32.0,4.2,1.0,1.0,38.0,20.253785359470157,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
25.0,4.6,0.0,1.0,23.0,16.721296009802852,23,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
39.0,4.7,1.0,0.0,15.0,2.984550789786577,10,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27.0,4.6,0.0,1.0,24.0,12.161450531436996,23,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
39.0,3.8,1.0,0.0,37.0,16.822155609316784,20,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
31.0,4.8,1.0,0.0,24.0,7.762556904358387,22,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0
31.0,4.8,2.0,0.0,13.0,9.055855161965688,23,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20.0,4.8,0.0,0.0,16.0,1.5545816630915406,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
36.0,4.9,0.0,1.0,42.0,12.074047498027545,18,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0
20.0,4.9,0.0,1.0,17.0,13.58037387628081,22,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24.0,4.6,0.0,0.0,25.0,4.469620875558469,21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
39.0,4.2,1.0,0.0,39.0,16.634870118211385,18,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
37.0,4.8,2.0,0.0,18.0,6.232139486668676,15,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
32.0,4.9,2.0,1.0,28.0,6.209021101535329,17,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
22.0,4.5,1.0,1.0,18.0,7.460830127736771,22,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
23.0,4.9,1.0,0.0,18.0,20.253785359470157,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
33.0,4.7,1.0,1.0,49.0,16.60097570059501,21,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
23.0,4.7,0.0,0.0,15.0,4.5403213728916425,23,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
27.0,4.6,0.0,1.0,21.0,12.421212735966272,23,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
34.0,4.7,2.0,0.0,23.0,6.118711846690412,14,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
26.0,5.0,2.0,1.0,11.0,1.5204319479995732,10,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
31.0,4.6,0.0,0.0,25.0,9.087972744660556,21,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
32.0,4.9,2.0,0.0,18.0,3.064487105761538,8,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
27.0,4.7,1.0,0.0,14.0,3.025144329113472,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21.0,4.9,0.0,2.0,36.0,13.97320677313832,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
28.0,4.8,1.0,1.0,18.0,7.7631027847272,23,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
24.0,4.9,1.0,1.0,17.0,6.290134677634678,16,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
33.0,4.4,0.0,1.0,28.0,1.5368503798527686,8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
20.0,4.6,0.0,0.0,44.0,13.973177561576213,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31.0,4.3,0.0,1.0,20.0,9.34840352266177,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
36.0,5.0,1.0,1.0,35.0,10.602467987619454,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
31.0,4.2,0.0,1.0,50.0,17.076258901182708,21,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
39.0,4.1,1.0,1.0,34.0,9.22083460710919,21,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
29.0,4.6,2.0,1.0,17.0,12.161605446009546,19,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
29.0,4.6,1.0,0.0,23.0,6.08088296759392,15,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
37.0,4.9,0.0,1.0,27.0,4.674143698976654,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
33.0,4.7,0.0,0.0,26.0,6.290134677634678,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
31.0,3.9,1.0,1.0,35.0,10.70900337153546,23,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
37.0,4.6,0.0,1.0,41.0,6.290134677634678,12,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
26.0,4.4,0.0,0.0,23.0,9.314884732862104,23,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24.0,4.6,0.0,0.0,30.0,17.137482577838096,18,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
23.0,4.8,1.0,1.0,19.0,3.145067434621583,10,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
36.0,4.9,1.0,1.0,27.0,1.5725337292863206,9,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39.0,4.8,0.0,1.0,28.0,6.218002348694166,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20.0,4.7,0.0,1.0,24.0,12.463883024166927,17,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
20.0,5.0,0.0,1.0,36.0,20.2065815105083,19,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
29.0,4.3,0.0,0.0,28.0,9.081116432460677,23,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36.0,4.8,2.0,1.0,31.0,17.138077427627362,18,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
36.0,4.0,0.0,3.0,44.0,13.63134369814336,20,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
22.0,4.8,1.0,1.0,15.0,12.074063090453254,22,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0
38.0,4.4,0.0,1.0,33.0,10.72326417216742,17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
39.0,4.9,0.0,0.0,30.0,7.600994631258499,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24.0,4.9,1.0,1.0,22.0,7.562982485199944,18,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0
30.0,4.1,0.0,0.0,43.0,11.00773476374462,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
35.0,4.8,0.0,3.0,48.0,13.829314445199008,17,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
33.0,4.5,2.0,1.0,19.0,13.969116967729818,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
39.0,4.7,1.0,1.0,21.0,10.923267458246295,18,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0
31.0,4.3,1.0,0.0,44.0,12.117036432265769,21,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37.0,4.5,2.0,0.0,26.0,1.5525704156530522,8,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
37.0,4.7,1.0,1.0,26.0,4.663566689152346,22,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33.0,5.0,1.0,1.0,31.0,1.5294972211336797,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
24.0,4.6,2.0,1.0,19.0,9.435201537430713,23,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0
33.0,4.5,1.0,0.0,18.0,11.916757259074872,19,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
39.0,4.7,2.0,1.0,38.0,10.486117701549048,19,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
37.0,4.6,1.0,1.0,32.0,13.583078662316938,18,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
25.0,4.9,2.0,1.0,17.0,7.683191405131541,22,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28.0,4.8,1.0,1.0,11.0,9.193093962702369,19,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
38.0,4.7,2.0,1.0,31.0,6.217883647558788,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
31.0,4.6,0.0,0.0,25.0,9.3268725291157,18,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
25.0,4.8,2.0,1.0,22.0,9.179538450825504,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
35.0,4.9,0.0,3.0,43.0,10.88065184853536,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
39.0,4.7,0.0,1.0,42.0,10.565262855251571,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
38.0,3.9,1.0,0.0,42.0,12.100062421151955,19,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
35.0,4.7,1.0,1.0,34.0,4.657159718108008,21,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
29.0,4.7,1.0,1.0,17.0,2.981217855191716,10,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
27.0,4.6,1.0,0.0,25.0,4.561265632840908,20,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
38.0,4.3,0.0,1.0,54.0,13.989916877276224,21,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
36.0,4.9,2.0,0.0,21.0,10.64228895373847,23,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
